5	200
48	100
64	100
9	100
9	1800
16	400
32	200
64	200
30	1300
48	300
48	200
40	200
16	200
64	400
184	800
512	1200
24	500
9	200
12	200
9	200
8	200
16	200
32	100
10	100
20	100
40	100
12	200
24	200
48	200
424	300
8	1200
48	400
52	700
32	300
12	800
24	100
48	200
10	500
20	100
40	100
24	1400
15	700
17	300
27	300
22	200
17	100
22	200
21	100
16	0
26	200
26	200
26	200
29	100
29	100
18	100
22	100
15	100
23	200
26	100
14	0
19	100
20	100
18	100
19	100
19	100
19	100
20	200
20	100
809	1700
148	700
16	700
32	200
10	300
20	100
40	300
22	300
16	500
15	200
25	500
13	100
20	200
25	100
21	100
13	100
17	100
18	100
18	100
19	0
23	100
30	200
18	100
19	100
20	100
22	100
19	100
14	100
15	100
14	100
18	100
15	0
24	100
18	100
19	0
20	100
13	300
16	100
24	0
25	200
17	100
12	100
20	100
21	100
13	100
18	100
23	100
13	100
16	100
16	100
25	200
30	200
13	100
8	200
18	100
21	100
16	200
16	100
16	100
17	100
13	100
13	100
14	100
23	100
26	100
26	100
26	100
26	100
27	100
15	100
16	100
19	500
17	100
14	100
12	200
13	100
12	100
13	100
12	100
13	100
16	100
23	200
23	100
23	100
26	100
26	100
26	100
30	100
30	100
30	100
20	200
19	100
25	100
17	100
17	100
20	100
20	100
20	100
24	100
24	100
24	100
16	100
21	200
16	200
25	200
16	200
22	200
17	100
15	100
23	100
17	100
27	100
21	100
11	100
23	100
22	100
21	0
16	100
21	100
16	100
25	100
16	200
22	100
17	0
15	100
13	100
17	100
27	100
21	100
12	100
12	100
13	0
19	100
20	100
14	100
15	100
10	100
27	200
27	100
11	100
18	100
26	100
13	100
21	100
22	100
34	100
13	100
14	100
15	100
25	100
23	100
24	100
36	100
34	100
46	200
20	200
30	100
24	100
33	100
30	100
39	100
9	100
26	100
26	100
10	0
23	100
11	100
18	100
23	0
12	200
9	100
8	100
25	100
30	100
24	100
26	100
21	100
23	100
23	100
23	100
26	100
12	100
13	100
18	100
22	100
13	200
19	100
14	100
14	100
24	100
18	100
17	100
24	100
33	100
18	0
26	100
33	100
31	100
19	100
28	100
26	100
23	100
22	200
21	100
20	100
16	200
14	100
25	200
23	0
20	100
19	100
24	100
28	200
31	100
21	100
15	100
13	100
11	100
14	100
12	100
19	100
22	100
38	100
28	100
25	200
18	100
16	100
16	100
14	100
24	100
22	100
19	100
30	100
28	100
25	200
24	100
43	200
33	100
34	100
17	100
20	100
14	100
19	100
20	100
24	100
28	100
23	100
26	100
29	100
34	100
25	200
23	200
20	100
15	100
27	100
25	100
28	100
26	100
20	100
21	100
19	100
22	200
20	100
13	100
29	100
25	100
26	100
24	200
24	100
19	200
27	100
18	100
14	100
12	100
13	100
21	100
31	100
12	100
14	200
25	100
25	100
21	200
22	100
20	100
20	0
18	0
29	100
29	100
25	100
26	100
24	200
24	100
21	100
30	100
28	100
26	100
25	100
23	200
20	200
21	100
26	200
15	100
15	100
15	100
16	100
28	100
26	0
19	0
21	200
22	200
21	100
26	100
20	100
20	100
20	100
17	100
25	100
24	200
16	100
12	100
12	200
12	200
13	100
17	100
18	200
18	100
21	100
22	400
15	100
16	100
16	100
16	100
17	100
7	200
23	200
26	100
24	100
33	100
36	100
27	100
21	200
24	100
11	100
12	100
13	100
16	100
12	100
20	100
10	100
17	100
12	100
11	100
9	100
12	200
22	100
16	100
12	100
14	100
10	100
12	200
17	100
17	100
22	100
16	100
24	100
19	100
18	100
26	200
20	100
30	100
28	100
20	100
21	100
20	200
21	100
20	100
21	100
20	100
21	100
18	100
21	100
21	100
29	200
30	200
29	0
29	100
31	100
26	100
31	100
27	0
